Unnamed: 0,firstName,initials,lastName,affiliation,country,institute
5939,,P,Hu,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5940,,G,Wang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5941,,H,Liu,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5942,,H,Wang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5943,,R,Zhang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5944,,J,Zheng,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5945,,X,Wang,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5946,,L,Wang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5947,,Y,Chang,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5948,,Q,Qian,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5949,,J,Yu,"CAS Key Laboratory of Forest Ecology and Management, Institute of Applied Ecology, Chinese Academy of Sciences, Shenyang 110016, China.",China,Institute of Applied Ecology
5950,,L,Tang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5951,,S,Wu,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5952,,X,Shao,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5953,,A,Li,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5954,,P,Cui,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5955,,W,Zhan,"Annoroad Gene Technology (Beijing) Co., Ltd, Beijing 100176, China.",China,Unparsed
5956,,S,Zhao,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5957,,Z,Wu,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5958,,X,Shao,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5959,,Y,Dong,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5960,,M,Rong,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5961,,Y,Tan,"CAS Key Laboratory of Forest Ecology and Management, Institute of Applied Ecology, Chinese Academy of Sciences, Shenyang 110016, China.",China,Institute of Applied Ecology
5962,,X,Cui,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5963,,S,Chang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5964,,X,Song,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5965,,T,Yang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5966,,L,Sun,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5967,,Y,Ju,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5968,,P,Zhao,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5969,,H,Fan,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5970,,Y,Liu,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5971,,X,Wang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5972,,W,Yang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5973,,M,Yang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5974,,T,Wei,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5975,,S,Song,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5976,,J,Xu,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5977,,Z,Yue,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China.",China,Institute of Special Animal and Plant Sciences
5978,,Q,Liang,"Novogene Bioinformatics Institute, Beijing 100083, China. Electronic address: liangqiqi@novogene.com.",China,Novogene Bioinformatics Institute
5979,,C,Li,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China. Electronic address: lichunyi@cstu.edu.cn.",China,Institute of Special Animal and Plant Sciences
5980,,J,Ruan,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China. Electronic address: ruanjue@caas.cn.",China,Agricultural Genomics Institute at Shenzhen
5981,,F,Yang,"Key Laboratory of Genetics, Breeding and Reproduction of Special Economic Animals, Ministry of Agriculture and Rural Affairs, Institute of Special Animal and Plant Sciences, Chinese Academy of Agricultural Sciences, Changchun 130112, China. Electronic address: yangfuhe@caas.cn.",China,Institute of Special Animal and Plant Sciences
5982,,X,Wang,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5983,,Z,Li,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5984,,T,Feng,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5985,,X,Luo,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5986,,L,Xue,"Reproductive Medical and Genetic Center, The People's Hospital of Guangxi Zhuang Autonomous Region, Nanning, Guangxi 530021, China.",China,Unparsed
5987,,C,Mao,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5988,,K,Cui,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5989,,H,Li,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5990,,J,Huang,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5991,,K,Huang,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5992,,SU,Rehman,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5993,,D,Shi,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5994,,D,Wu,"State Key Laboratory of Genetic Resources and Evolution, Kunming Institute of Zoology, Chinese Academy of Sciences, Kunming, Yunnan 650223, China.",China,Kunming Institute of Zoology
5995,,J,Ruan,"Shenzhen Branch, Guangdong Laboratory of Lingnan Modern Agriculture, Genome Analysis Laboratory of the Ministry of Agriculture and Rural Affairs, Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen 518120, China.",China,Agricultural Genomics Institute at Shenzhen
5996,,Q,Liu,"State Key Laboratory for Conservation and Utilization of Subtropical Agro-Bioresources, Guangxi University, Nanning 530005, China.",China,Guangxi University
5997,,S,Piplani,"Vaxine Pty Ltd, 11 Walkley Avenue, Warradale, 5046, Australia.",Australia,Unparsed
5998,,PK,Singh,"Vaxine Pty Ltd, 11 Walkley Avenue, Warradale, 5046, Australia.",Australia,Unparsed
5999,,DA,Winkler,"School of Pharmacy, University of Nottingham, Nottingham, NG7 2RD, UK. d.winkler@latrobe.edu.au.",UK,University of Nottingham
6000,,N,Petrovsky,"Vaxine Pty Ltd, 11 Walkley Avenue, Warradale, 5046, Australia. nikolai.petrovsky@flinders.edu.au.",Australia,Unparsed
6001,,L,Luu,"Institute of Infection, Veterinary & Ecological Sciences, University of Liverpool, Liverpool L3 5RF, UK.",UK,University of Liverpool
6002,,GS,Bah,"L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD), Yaoundé 2123, Cameroon.",Cameroon,L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD)
6003,,NH,Okah-Nnane,"L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD), Yaoundé 2123, Cameroon.",Cameroon,L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD)
6004,,CS,Hartley,"Institute of Infection, Veterinary & Ecological Sciences, University of Liverpool, Liverpool L3 5RF, UK.",UK,University of Liverpool
6005,,AF,Glover,"Institute of Infection, Veterinary & Ecological Sciences, University of Liverpool, Liverpool L3 5RF, UK.",UK,University of Liverpool
6006,,TR,Walsh,"Institute of Infection, Veterinary & Ecological Sciences, University of Liverpool, Liverpool L3 5RF, UK.",UK,University of Liverpool
6007,,LY,Lian,"Institute of Systems, Molecular and Integrative Biology, University of Liverpool, Liverpool L3 5RF, UK.",UK,University of Liverpool
6008,,B,Zhan,"National School of Tropical Medicine, Baylor College of Medicine, Houston, TX 77030, USA.",USA,Baylor College of Medicine
6009,,ME,Bottazzi,"National School of Tropical Medicine, Baylor College of Medicine, Houston, TX 77030, USA.",USA,Baylor College of Medicine
6010,,D,Abraham,"Department of Microbiology and Immunology, Sidney Kimmel Medical College, Thomas Jefferson University, Philadelphia, PA 19107, USA.",USA,Thomas Jefferson University
6011,,N,Petrovsky,"Flinders Medical Centre, Adelaide 5042, Australia.",Australia,Unparsed
6012,,N,Bayang,"L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD), Yaoundé 2123, Cameroon.",Cameroon,L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD)
6013,,B,Tangwa,"L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD), Yaoundé 2123, Cameroon.",Cameroon,L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD)
6014,,RB,Ayiseh,"Biotechnology Unit, University of Buea, Buea P.O. Box 63, Cameroon.",Cameroon,University of Buea
6015,,GE,Mbah,"Department of Biology, Higher Teacher Training College (HTTC), The University of Bamenda, Bambili P.O. Box 39, Cameroon.",Cameroon,The University of Bamenda
6016,,DD,Ekale,"L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD), Yaoundé 2123, Cameroon.",Cameroon,L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD)
6017,,VN,Tanya,"L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD), Yaoundé 2123, Cameroon.",Cameroon,L'Institut de Recherche Agricole Pour le Deéveloppement (IRAD)
6018,,S,Lustigman,"Molecular Parasitology, Lindsley F. Kimball Research Institute, New York Blood Center, New York, NY 10065, USA.",USA,Lindsley F. Kimball Research Institute
6019,,BL,Makepeace,"Institute of Infection, Veterinary & Ecological Sciences, University of Liverpool, Liverpool L3 5RF, UK.",UK,University of Liverpool
6020,,J,Graham-Brown,"Institute of Infection, Veterinary & Ecological Sciences, University of Liverpool, Liverpool L3 5RF, UK.",UK,University of Liverpool
6021,,B,Mahmoudi,"Department of Animal science, Agricultural Sciences and Natural Resources University of Khuzestan, Ahvaz, Iran.",Iran,Agricultural Sciences and Natural Resources University of Khuzestan
6022,,J,Fayazi,"Department of Animal science, Agricultural Sciences and Natural Resources University of Khuzestan, Ahvaz, Iran. j_fayazi@asnrukh.ac.ir.",Iran,Agricultural Sciences and Natural Resources University of Khuzestan
6023,,H,Roshanfekr,"Department of Animal science, Agricultural Sciences and Natural Resources University of Khuzestan, Ahvaz, Iran.",Iran,Agricultural Sciences and Natural Resources University of Khuzestan
6024,,M,Sari,"Department of Animal science, Agricultural Sciences and Natural Resources University of Khuzestan, Ahvaz, Iran.",Iran,Agricultural Sciences and Natural Resources University of Khuzestan
6025,,MR,Bakhtiarizadeh,"Department of Animal and poultry science, College of Aburaihan, University of Tehran, Tehran, Iran.",Iran,University of Tehran
6026,,M,Gholizadeh,"Department of Animal Science, Faculty of Animal Science and Food Technology, Agricultural Sciences and Natural Resources University of Khuzestan, Mollasani, Ahvaz 6341773637, Iran.",Iran,Agricultural Sciences and Natural Resources University of Khuzestan
6027,,J,Fayazi,"Department of Animal Science, Faculty of Animal Science and Food Technology, Agricultural Sciences and Natural Resources University of Khuzestan, Mollasani, Ahvaz 6341773637, Iran.",Iran,Agricultural Sciences and Natural Resources University of Khuzestan
6028,,Y,Asgari,"Department of Medical Biotechnology, School of Advanced Technologies in Medicine, Tehran University of Medical Sciences, Tehran 1416753955, Iran.",Iran,Tehran University of Medical Sciences
6029,,H,Zali,"School of Advanced Technologies in Medicine, Shahid Beheshti University of Medical Sciences, Tehran 1416753955, Iran.",Iran,Shahid Beheshti University of Medical Sciences
6030,,L,Kaderali,"Institute of Bioinformatics, University Medicine Greifswald, Felix-Hausdorff-Str. 8, 17475 Greifswald, Germany.",Germany,University Medicine Greifswald
6031,,J,Wu,"Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences, Hohhot, 010031, China. wujianghonglong@126.com.",China,Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences
6032,,D,Yang,"Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences, Hohhot, 010031, China.",China,Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences
6033,,H,Gong,"College of Life Science, Inner Mongolia University for Nationalities, Tongliao, 028000, China.",China,Inner Mongolia University for Nationalities
6034,,Y,Qi,"Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences, Hohhot, 010031, China.",China,Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences
6035,,H,Sun,"Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences, Hohhot, 010031, China.",China,Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences
6036,,Y,Liu,"Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences, Hohhot, 010031, China.",China,Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences
6037,,Y,Liu,"Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences, Hohhot, 010031, China.",China,Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences
6038,,X,Qiu,"Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences, Hohhot, 010031, China.",China,Inner Mongolia Academy of Agricultural & Animal Husbandry Sciences
6039,,EE,Eltamany,"Department of Pharmacognosy, Faculty of Pharmacy, Suez Canal University, Ismailia 41522, Egypt.",Egypt,Suez Canal University
6040,,MS,Goda,"Department of Pharmacognosy, Faculty of Pharmacy, Suez Canal University, Ismailia 41522, Egypt.",Egypt,Suez Canal University
6041,,MS,Nafie,"Department of Chemistry, Faculty of Science, Suez Canal University, Ismailia 41522, Egypt.",Egypt,Suez Canal University
6042,,AM,Abu-Elsaoud,"Department of Botany and Microbiology, Faculty of Science, Suez Canal University, Ismailia 41522, Egypt.",Egypt,Suez Canal University
6043,,RH,Hareeri,"Department of Pharmacology and Toxicology, Faculty of Pharmacy, King Abdulaziz University, Jeddah 21589, Saudi Arabia.",Saudi Arabia,King Abdulaziz University
6044,,MM,Aldurdunji,"Department of Clinical Pharmacy, College of Pharmacy, Umm Al-Qura University, P.O. Box 13578, Makkah 21955, Saudi Arabia.",Saudi Arabia,Umm Al-Qura University
6045,,SS,Elhady,"Department of Natural Products, Faculty of Pharmacy, King Abdulaziz University, Jeddah 21589, Saudi Arabia.",Saudi Arabia,King Abdulaziz University
6046,,JM,Badr,"Department of Pharmacognosy, Faculty of Pharmacy, Suez Canal University, Ismailia 41522, Egypt.",Egypt,Suez Canal University
6047,,,Eltahawy,"Department of Pharmacognosy, Faculty of Pharmacy, Suez Canal University, Ismailia 41522, Egypt.",Egypt,Suez Canal University
6048,,D,Naguib,"Department of Hygiene and Zoonoses, Faculty of Veterinary Medicine, Mansoura University, Mansoura 35516, Egypt.",Egypt,Mansoura University
6049,,N,Gantois,"CNRS, Inserm, CHU Lille, Institut Pasteur de Lille, U1019-UMR 9017-CIIL-Centre d'Infection et d'Immunité de Lille, University of Lille, F-59000 Lille, France.",France,University of Lille
6050,,J,Desramaut,"CNRS, Inserm, CHU Lille, Institut Pasteur de Lille, U1019-UMR 9017-CIIL-Centre d'Infection et d'Immunité de Lille, University of Lille, F-59000 Lille, France.",France,University of Lille
6051,,N,Arafat,"Department of Poultry Diseases, Faculty of Veterinary Medicine, Mansoura University, Mansoura 35516, Egypt.",Egypt,Mansoura University
6052,,M,Mandour,"Clinical Pathology Department, Faculty of Medicine, Suez Canal University, Ismailia 41511, Egypt.",Egypt,Suez Canal University
6053,,AKK,Abdelmaogood,"Clinical Pathology Department, Faculty of Medicine, Suez Canal University, Ismailia 41511, Egypt.",Egypt,Suez Canal University
6054,,AF,Mosa,"Parasitology Department, Medical Research Institute, Alexandria University, Alexandria 21500, Egypt.",Egypt,Alexandria University
6055,,C,Denoyelle,"CNRS, Inserm, CHU Lille, Institut Pasteur de Lille, U1019-UMR 9017-CIIL-Centre d'Infection et d'Immunité de Lille, University of Lille, F-59000 Lille, France.",France,University of Lille
6056,,G,Even,"PEGASE-Biosciences (Plateforme d'Expertises Génomiques Appliquées aux Sciences Expérimentales), Institut Pasteur de Lille, F-59000 Lille, France.",France,Institut Pasteur de Lille
6057,,G,Certad,"Délégation à la Recherche Clinique et à l'Innovation, Groupement des Hôpitaux de l'Institut Catholique de Lille, F-59000 Lille, France.",France,Groupement des Hôpitaux de l'Institut Catholique de Lille
6058,,M,Chabé,"CNRS, Inserm, CHU Lille, Institut Pasteur de Lille, U1019-UMR 9017-CIIL-Centre d'Infection et d'Immunité de Lille, University of Lille, F-59000 Lille, France.",France,University of Lille
6059,,E,Viscogliosi,"CNRS, Inserm, CHU Lille, Institut Pasteur de Lille, U1019-UMR 9017-CIIL-Centre d'Infection et d'Immunité de Lille, University of Lille, F-59000 Lille, France.",France,University of Lille
6060,,A,Fanelli,"Department of Veterinary Medicine, University of Bari Aldo Moro, Bari, Italy.",Italy,University of Bari Aldo Moro
6061,,M,Cirilli,"Department of Veterinary Medicine, University of Bari Aldo Moro, Bari, Italy.",Italy,University of Bari Aldo Moro
6062,,MS,Lucente,"Department of Veterinary Medicine, University of Bari Aldo Moro, Bari, Italy.",Italy,University of Bari Aldo Moro
6063,,AAK,Zarea,"Department of Microbiology and Immunology, National Research Centre, Cairo, Egypt.",Egypt,Unparsed
6064,,D,Buonavoglia,"Department of Veterinary Medicine, University of Bari Aldo Moro, Bari, Italy.",Italy,University of Bari Aldo Moro
6065,,M,Tempesta,"Department of Veterinary Medicine, University of Bari Aldo Moro, Bari, Italy.",Italy,University of Bari Aldo Moro
6066,,G,Greco,"Department of Veterinary Medicine, University of Bari Aldo Moro, Bari, Italy.",Italy,University of Bari Aldo Moro
6067,,M,Guberti,"Department of Biomedicine and Prevention, University of Rome Tor Vergata, Via di Montpellier, 1-00133 Rome, Italy.",Italy,University of Rome Tor Vergata
6068,,S,Botti,"Hematology Unit, Azienda USL-IRCCS di Reggio Emilia, Via Amendola, 2-42122 Reggio Emilia, Italy.",Italy,Unparsed
6069,,MT,Capuzzo,"Department of Biomedicine and Prevention, University of Rome Tor Vergata, Via di Montpellier, 1-00133 Rome, Italy.",Italy,University of Rome Tor Vergata
6070,,S,Nardozi,"Department of Biomedicine and Prevention, University of Rome Tor Vergata, Via di Montpellier, 1-00133 Rome, Italy.",Italy,University of Rome Tor Vergata
6071,,A,Fusco,"Research and EBP Unit, Health Professions Department, Azienda USL-IRCCS di Reggio Emilia, Via Amendola, 2-42122 Reggio Emilia, Italy.",Italy,Unparsed
6072,,A,Cera,"ASST-Azienda Socio-Sanitaria Territoriale di Mantova, Strada Lago Paiolo, 10-46100 Mantova, Italy.",Italy,Unparsed
6073,,L,Dugo,"Unit of Food Science and Nutrition, Department of Science and Technology for Humans and the Environment, University Campus Bio-Medico of Rome, Via Alvaro del Portillo, 21-00128 Rome, Italy.",Italy,University Campus Bio-Medico of Rome
6074,,M,Piredda,"Research Unit Nursing Science, University Campus Bio-Medico of Rome, Via Alvaro del Portillo, 21-00128 Rome, Italy.",Italy,University Campus Bio-Medico of Rome
6075,,MG,De Marinis,"Research Unit Nursing Science, University Campus Bio-Medico of Rome, Via Alvaro del Portillo, 21-00128 Rome, Italy.",Italy,University Campus Bio-Medico of Rome
6076,,H,Ermis,"Department of Environmental Engineering, Istanbul Technical University, 34469, Maslak, Istanbul, Turkey. hande_ermis@hotmail.com.",Turkey,Istanbul Technical University
6077,,U,Guven-Gulhan,"PHI Tech Bioinformatics R&D Inc., 41400, Gebze, Kocaeli, Turkey.",Turkey,Unparsed
6078,,T,Cakir,"Department of Bioengineering, Gebze Technical University, 41400, Gebze, Kocaeli, Turkey.",Turkey,Gebze Technical University
6079,,M,Altinbas,"Department of Environmental Engineering, Istanbul Technical University, 34469, Maslak, Istanbul, Turkey.",Turkey,Istanbul Technical University
6080,,MP,Milazzotto,"Instituto de Ciências Biomédicas, Universidade de São Paulo, São Paulo, SP, Brasil.",Brasil,Universidade de São Paulo
6081,,CB,de Lima,"Département des Sciences Animales, Centre de Recherche en Reproduction, Développement et Santé Intergénérationnelle, Faculté des Sciences de l'Agriculture et de l'Alimentation, Université Laval, Quebec, Canada.",Canada,Université Laval
