firstName,initials,lastName,pubmed_affiliation,pubmed_institute,address
Xi,X,Yang,"Laboratory of Genetics and Genomics, National Institute on Aging, National Institutes of Health Intramural Research Program, Baltimore, Maryland, USA.",National Institute on Aging,"251 Bayview Blvd, Baltimore, MD 21224, USA"
Xuexian,X,Yang,"Laboratory of Genetics and Genomics, National Institute on Aging, National Institutes of Health Intramural Research Program, Baltimore, Maryland, USA.",National Institute on Aging,"251 Bayview Blvd, Baltimore, MD 21224, USA"
Xue,X,Yang,"Laboratory of Genetics and Genomics, National Institute on Aging, National Institutes of Health Intramural Research Program, Baltimore, Maryland, USA.",National Institute on Aging,"251 Bayview Blvd, Baltimore, MD 21224, USA"
Xiaohan,X,Yang,"Laboratory of Genetics and Genomics, National Institute on Aging, National Institutes of Health Intramural Research Program, Baltimore, Maryland, USA.",National Institute on Aging,"251 Bayview Blvd, Baltimore, MD 21224, USA"
Myriam,M,Gorospe,"Laboratory of Genetics and Genomics, National Institute on Aging, National Institutes of Health Intramural Research Program, Baltimore, Maryland, USA.",National Institute on Aging,"251 Bayview Blvd, Baltimore, MD 21224, USA"
Sumanta,S,Pal,"Department of Biochemistry, The University of Iowa, Iowa City, IA, 52246, USA.",The University of Iowa,"4-403 Bowen Science Building, Iowa City, IA 52242, USA"
Subhashis,S,Pal,"Department of Biochemistry, The University of Iowa, Iowa City, IA, 52246, USA.",The University of Iowa,"4-403 Bowen Science Building, Iowa City, IA 52242, USA"
Piyush,P,Baindara,"CSIR-Institute of Microbial Technology, Chandigarh, India.",CSIR-Institute of Microbial Technology,"Csir-Institute Of Microbial Technology, 39A, Sector 39, Chandigarh, 160036"
Sasha,S,Rodriguez,"Department of Chemistry &amp; Biochemistry, University of Colorado Colorado Springs, Colorado Springs, CO 80918, USA.",University of Colorado Colorado Springs,"1420 Austin Bluffs Pkwy, Colorado Springs, CO 80918, USA"
Sofia,S,Rodriguez,"Department of Chemistry &amp; Biochemistry, University of Colorado Colorado Springs, Colorado Springs, CO 80918, USA.",University of Colorado Colorado Springs,"1040 N Nevada Ave, Colorado Springs, CO 80903, USA"
Ashley,A,Ward,"Department of Chemistry &amp; Biochemistry, University of Colorado Colorado Springs, Colorado Springs, CO 80918, USA.",University of Colorado Colorado Springs,"1040 N Nevada Ave, Colorado Springs, CO 80903, USA"
Andrew,A,Ward,"Department of Chemistry &amp; Biochemistry, University of Colorado Colorado Springs, Colorado Springs, CO 80918, USA.",University of Colorado Colorado Springs,"1040 N Nevada Ave, Colorado Springs, CO 80903, USA"
Clayton,C,Hull-Crew,"Department of Chemistry &amp; Biochemistry, University of Colorado Colorado Springs, Colorado Springs, CO 80918, USA.",University of Colorado Colorado Springs,"1040 N Nevada Ave, Colorado Springs, CO 80903, USA"
Shannon,S,Buttimer,"Department of Biological Sciences, The University of Alabama, Tuscaloosa, AL, 35487, USA.",The University of Alabama,"Science and Engineering Complex, 1325 Hackberry Ln, Tuscaloosa, AL 35401, USA"
Samantha,S,Siomko,"Department of Biological Sciences, The University of Alabama, Tuscaloosa, AL, 35487, USA.",The University of Alabama,"Science and Engineering Complex, 1325 Hackberry Ln, Tuscaloosa, AL 35401, USA"
Binh,B,Nguyen,"School of Chemical & Biomolecular Engineering, Georgia Institute of Technology, Atlanta, GA, USA.",Georgia Institute of Technology,"311 Ferst Dr, Atlanta, GA 30332, USA"
Blaire,B,Steven,"Department of Environmental Sciences, Connecticut Agricultural Experiment Station, New Haven, CT, United States.",Unparsed,"123 Huntington St, New Haven, CT 06511, USA"
Liang,L,Ma,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA. mal3@nih.gov.",National Institutes of Health (NIH),"201 Sandpointe Ave #100, Santa Ana, CA 92707, USA"
Li-Jun,L,Ma,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA. mal3@nih.gov.",National Institutes of Health (NIH),"201 Sandpointe Ave #100, Santa Ana, CA 92707, USA"
Li,L,Ma,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA. mal3@nih.gov.",National Institutes of Health (NIH),"201 Sandpointe Ave #100, Santa Ana, CA 92707, USA"
Yang-Yu,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yining,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yuting,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yumeng,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yusen,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yang,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yue,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yi,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yuan,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Yanru,Y,Liu,"Critical Care Medicine Department, NIH Clinical Center, National Institutes of Health (NIH), Bethesda, MD, USA.",National Institutes of Health (NIH),"10 Center Dr, Bethesda, MD 20892, USA"
Juhong,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jing,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jiawei,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Junjie,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jianjun,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jia-Hui,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
James,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jie,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jia,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jingxuan,J,Chen,"Department of Respiratory and Critical Care Medicine, the First Affiliated Hospital of Chongqing Medical University, Chongqing, China.",the First Affiliated Hospital of Chongqing Medical University,"China, Chong Qing Shi, Jiu Long Po Qu, CN 重庆市 九龙坡区 友谊路 1 1号重庆医科大学附属第一医院-2号楼5F 邮政编码: 400016"
Jin-Rong,J,Xu,"Center for Advanced Models for Translational Sciences and Therapeutics, University of Michigan Medical Center, University of Michigan Medical School, Ann Arbor, MI, USA.",University of Michigan Medical Center,"1500 E Medical Center Dr, Ann Arbor, MI 48109, USA"
Jiang,J,Xu,"Center for Advanced Models for Translational Sciences and Therapeutics, University of Michigan Medical Center, University of Michigan Medical School, Ann Arbor, MI, USA.",University of Michigan Medical Center,"1500 E Medical Center Dr, Ann Arbor, MI 48109, USA"
Jimin,J,Xu,"Center for Advanced Models for Translational Sciences and Therapeutics, University of Michigan Medical Center, University of Michigan Medical School, Ann Arbor, MI, USA.",University of Michigan Medical Center,"1500 E Medical Center Dr, Ann Arbor, MI 48109, USA"
Jiawu,J,Xu,"Center for Advanced Models for Translational Sciences and Therapeutics, University of Michigan Medical Center, University of Michigan Medical School, Ann Arbor, MI, USA.",University of Michigan Medical Center,"1500 E Medical Center Dr, Ann Arbor, MI 48109, USA"
Yang-Yu,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yining,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yuting,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yumeng,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yusen,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yang,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yue,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yi,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yuan,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Yanru,Y,Liu,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Harris,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Herui,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Huanzhong,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Hong-Gang,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Huan,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Hao,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Hengbin,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Huanchen,H,Wang,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Spenser,S,Babb-Biernacki,"Museum of Natural Science and Department of Biological Sciences, Louisiana State University, Baton Rouge, Louisiana, USA.",Louisiana State University,"Murphy J. Foster Hall, 119 Dalrymple Dr, Baton Rouge, LA 70802, USA"
Shiv,S,Grewal,"Laboratory of Biochemistry and Molecular Biology, National Cancer Institute, National Institutes of Health, Bethesda, Maryland, USA.",National Cancer Institute,"37 Convent Dr # 4068, Bethesda, MD 20892, USA"
Melanie,M,Cushion,"Department of Internal Medicine, College of Medicine, University of Cincinnati, Cincinnati, Ohio, USA.",University of Cincinnati,"231 Albert Sabin Way #45229, Cincinnati, OH 45229, USA"
Liang,L,Ma,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Li-Jun,L,Ma,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Li,L,Ma,"Critical Care Medicine Department, Clinical Center, National Institutes of Health, Bethesda, Maryland, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Jicai,J,Jiang,"California NanoSystems Institute, UCLA, Los Angeles, CA, USA.",California NanoSystems Institute,"570 Westwood Plaza, Los Angeles, CA 90095, USA"
Jiansen,J,Jiang,"California NanoSystems Institute, UCLA, Los Angeles, CA, USA.",California NanoSystems Institute,"570 Westwood Plaza, Los Angeles, CA 90095, USA"
Wanyan,W,Wang,"California NanoSystems Institute, UCLA, Los Angeles, CA, USA.",California NanoSystems Institute,"570 Westwood Plaza, Los Angeles, CA 90095, USA"
Wen,W,Wang,"California NanoSystems Institute, UCLA, Los Angeles, CA, USA.",California NanoSystems Institute,"570 Westwood Plaza, Los Angeles, CA 90095, USA"
William,W,Wang,"California NanoSystems Institute, UCLA, Los Angeles, CA, USA.",California NanoSystems Institute,"570 Westwood Plaza, Los Angeles, CA 90095, USA"
Wei,W,Wang,"California NanoSystems Institute, UCLA, Los Angeles, CA, USA.",California NanoSystems Institute,"570 Westwood Plaza, Los Angeles, CA 90095, USA"
Dianne,D,Newman,"Department of Medicine, Division of Nephrology, David Geffen School of Medicine, University of California, Los Angeles, CA, USA.",University of California,"10833 Le Conte Ave, Los Angeles, CA 90095, USA"
Ira,I,Kurtz,"Brain Research Institute, University of California, Los Angeles, CA, USA. ikurtz@mednet.ucla.edu.",University of California,"695 Charles E Young Dr S, Los Angeles, CA 90095, USA"
Jun,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jingyi,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jess,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jingbo,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jiaming,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jianming,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jing,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jianhui,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jingyao,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jiang,J,Li,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Yue,Y,Hao,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Jun,J,Yan,"Department of Biological Chemistry and Molecular Pharmacology, Harvard Medical School, Boston, MA, 02115, USA.",Harvard Medical School,"Building C, 240 Longwood Ave, Boston, MA 02115, USA"
Taekjip,T,Ha,"Howard Hughes Medical Institute, Baltimore, MD, 21205, USA. tjha@jhu.edu.",Howard Hughes Medical Institute,"3120 Biomedical Sciences Wy, La Jolla, CA 92093, USA"
Katherine,K,Lagree,"Research Division of Immunology, Department of Biomedical Sciences, Cedars-Sinai Medical Center, Los Angeles, CA 90048, USA; F. Widjaja Foundation Inflammatory Bowel & Immunobiology Research Institute, Cedars-Sinai Medical Center, Los Angeles, CA 90048, USA; The Karsh Division of Gastroenterology and Hepatology, Department of Medicine Cedars-Sinai Medical Center, Los Angeles, CA 90048, USA.",USA; F. Widjaja Foundation Inflammatory Bowel & Immunobiology Research Institute,"8730 Gracie Allen Dr, Los Angeles, CA 90048, USA"
Maurizio,M,Del Poeta,"Veterans Administration Medical Center, Northport, NY, United States.",Unparsed,"79 Middleville Rd, Northport, NY 11768, USA"
Yael,Y,Udi,"Laboratory of Cellular and Structural Biology, The Rockefeller University , New York, NY, USA.",The Rockefeller University ,"1230 York Ave, New York, NY 10065, USA"
Wenyan,W,Zhang,"Laboratory of Mass Spectrometry and Gaseous Ion Chemistry, The Rockefeller University , New York, NY, USA.",The Rockefeller University ,"430 E 67th St, New York, NY 10065, USA"
Weimin,W,Zhang,"Laboratory of Mass Spectrometry and Gaseous Ion Chemistry, The Rockefeller University , New York, NY, USA.",The Rockefeller University ,"430 E 67th St, New York, NY 10065, USA"
Wenzhu,W,Zhang,"Laboratory of Mass Spectrometry and Gaseous Ion Chemistry, The Rockefeller University , New York, NY, USA.",The Rockefeller University ,"430 E 67th St, New York, NY 10065, USA"
Wenjun,W,Zhang,"Laboratory of Mass Spectrometry and Gaseous Ion Chemistry, The Rockefeller University , New York, NY, USA.",The Rockefeller University ,"430 E 67th St, New York, NY 10065, USA"
Inna,I,Ricardo-Lax,"Laboratory of Virology and Infectious Disease, The Rockefeller University , New York, NY, USA.",The Rockefeller University ,"462 1st Ave., New York, NY 10016, USA"
Sagar,S,Barge,"Department of Molecular Biology and Biotechnology, Cotton University, Guwahati, India.",Cotton University,"Dighalipukhuri, Guwahati, Assam 781001, India"
Raghuram,R,Kandimalla,"Brown Cancer Center, University of Louisville, Louisville, Kentucky, USA.",University of Louisville,"529 S Jackson St, Louisville, KY 40202, USA"
Arnab,A,Ghosh,"Biochemistry and Drug Discovery Lab, Institute of Advanced Study in Science and Technology, Guwahati, India.",Institute of Advanced Study in Science and Technology,"Garchuk - Pamohi Rd, Paschim Boragaon, Guwahati, Assam 781013, India"
Laure,L,Flurin,"Division of Infectious Diseases, Mayo Clinic, Rochester, Minnesota, USA.",Unparsed,"200 1st Ave SW, Rochester, MN 55902, USA"
Robin,R,Patel,"Division of Infectious Diseases, Mayo Clinic, Rochester, Minnesota, USA.",Unparsed,"200 1st Ave SW, Rochester, MN 55902, USA"
Chenxi,C,Qiu,"Department of Chemistry and Biochemistry, University of Notre Dame, Notre Dame, Indiana, USA.",University of Notre Dame,"Nieuwland Science Hall, 236 Cavanaugh Dr, Notre Dame, IN 46556, USA"
Byeonghwa,B,Jeon,"Division of Environmental Health Sciences, School of Public Health, University of Minnesota, Minneapolis, MN 55455, USA.",University of Minnesota,"Minneapolis, MN 55455, USA"
Autumn,A,Harris,"LanzaTech Inc., Skokie, IL, United States.",Unparsed,"8045 Lamon Ave #400, Skokie, IL 60077, USA"
Anthony,A,Harris,"LanzaTech Inc., Skokie, IL, United States.",Unparsed,"8045 Lamon Ave #400, Skokie, IL 60077, USA"
Michael,M,Köpke,"LanzaTech Inc., Skokie, IL, United States.",Unparsed,"8045 Lamon Ave #400, Skokie, IL 60077, USA"
Myriam,M,Gorospe,"Laboratory of Genetics and Genomics, National Institute on Aging, Baltimore, MD 21224, USA.",National Institute on Aging,"Koch Cancer Research Building, 1550 Orleans St, Baltimore, MD 21287, USA"
Markus,M,Hafner,"RNA Molecular Biology Laboratory, National Institute for Arthritis and Musculoskeletal and Skin Disease, Bethesda, MD 20892, USA. Electronic address: markus.hafner@nih.gov.",National Institute for Arthritis and Musculoskeletal and Skin Disease,"1 AMS Circle, Bethesda, MD 20892, USA"
Ashish,A,Lal,"Regulatory RNAs and Cancer Section, Genetics Branch, Center for Cancer Research (CCR), National Cancer Institute (NCI), Bethesda, MD 20892, USA. Electronic address: ashish.lal@nih.gov.",National Cancer Institute (NCI),"9250 Towne Centre Dr UNIT 12, San Diego, CA 92121, USA"
Hyesun,H,Kuehn,"Immunology Service, Department of Laboratory Medicine, Clinical Center, National Institutes of Health, Bethesda, MD, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Brigette,B,Boast,"Immunology Service, Department of Laboratory Medicine, Clinical Center, National Institutes of Health, Bethesda, MD, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Sung-Min,S,Hwang,"Immunology Service, Department of Laboratory Medicine, Clinical Center, National Institutes of Health, Bethesda, MD, USA.",National Institutes of Health,"10 Center Dr, Bethesda, MD 20892, USA"
Stefania,S,Pittaluga,"Laboratory of Pathology, Center for Cancer Research, National Cancer Institute, National Institutes of Health, Bethesda, MD, USA.",National Cancer Institute,"37 Convent Dr # 4068, Bethesda, MD 20892, USA"
Marita,M,Bosticardo,"Laboratory of Clinical Immunology and Microbiology, National Institute of Allergy and Infectious Diseases, National Institutes of Health, Bethesda, MD, USA.",National Institute of Allergy and Infectious Diseases,"31 Center Dr # 7A03, Bethesda, MD 20892, USA"
Bertrand,B,Boisson,"Université Paris Cité, Imagine Institute, Paris, France.",Université Paris Cité,"24 Bd du Montparnasse, 75015 Paris, France"
Feng,F,Jiang,"Department of Biochemistry & Biophysics, University of Rochester School of Medicine & Dentistry, Rochester, NY, 14642, USA.",University of Rochester School of Medicine & Dentistry,"601 Elmwood Ave, Rochester, NY 14642, USA"
Jiangbin,J,Wu,"Aab Cardiovascular Research Institute, Department of Medicine, University of Rochester School of Medicine & Dentistry, Rochester, NY, 14642, USA.",University of Rochester School of Medicine & Dentistry,"601 Elmwood Ave, Rochester, NY 14642, USA"
Jin,J,Wu,"Aab Cardiovascular Research Institute, Department of Medicine, University of Rochester School of Medicine & Dentistry, Rochester, NY, 14642, USA.",University of Rochester School of Medicine & Dentistry,"601 Elmwood Ave, Rochester, NY 14642, USA"
Jie,J,Wu,"Aab Cardiovascular Research Institute, Department of Medicine, University of Rochester School of Medicine & Dentistry, Rochester, NY, 14642, USA.",University of Rochester School of Medicine & Dentistry,"601 Elmwood Ave, Rochester, NY 14642, USA"
Meilin,M,Zhu,"The Center for RNA Biology, University of Rochester School of Medicine & Dentistry, Rochester, NY, 14642, USA.",University of Rochester School of Medicine & Dentistry,"601 Elmwood Ave, Rochester, NY 14642, USA"
Mei-Jun,M,Zhu,"The Center for RNA Biology, University of Rochester School of Medicine & Dentistry, Rochester, NY, 14642, USA.",University of Rochester School of Medicine & Dentistry,"601 Elmwood Ave, Rochester, NY 14642, USA"
Peng,P,Yao,"The Center for Biomedical Informatics, University of Rochester School of Medicine & Dentistry, Rochester, NY, 14642, USA. peng_yao@urmc.rochester.edu.",University of Rochester School of Medicine & Dentistry,"601 Elmwood Ave, Rochester, NY 14642, USA"
Renming,R,Liu,"Department of Computational Mathematics, Science and Engineering, Michigan State University, East Lansing, Michigan, United States of America.",Michigan State University,"Engineering Building, 428 S Shaw Ln #1501, East Lansing, MI 48824, USA"
Aarti,A,Krishnan,"Department of Computational Mathematics, Science and Engineering, Michigan State University, East Lansing, Michigan, United States of America.",Michigan State University,"Engineering Building, 428 S Shaw Ln #1501, East Lansing, MI 48824, USA"
Arjun,A,Krishnan,"Department of Computational Mathematics, Science and Engineering, Michigan State University, East Lansing, Michigan, United States of America.",Michigan State University,"Engineering Building, 428 S Shaw Ln #1501, East Lansing, MI 48824, USA"
Moustafa,M,Saleh,"Department of Veterinary Science, Martin-Gatton College of Agriculture, Food and Environment, University of Kentucky, Lexington, KY 40546, USA.",University of Kentucky,"Agricultural Science Center North, 1100 S Limestone S107, Lexington, KY 40508, USA"
Jianting,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Jinwei,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Jin,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Jingying,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Jessie,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Jing,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Jie,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Junran,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
Jian,J,Zhang,"Department of Biology, Washington University in St, Louis, St. Louis, Missouri, United States of America.",Washington University in St,"St. Louis, MO 63105, USA"
